t,round,phase,actor,opponent,event,landed,target,force,Red_head_fatigue,Red_left_arm_fatigue,Red_right_arm_fatigue,Red_torso_fatigue,Red_legs_fatigue,Blue_head_fatigue,Blue_left_arm_fatigue,Blue_right_arm_fatigue,Blue_torso_fatigue,Blue_legs_fatigue,Red_stamina,Blue_stamina
0.2,1,active,Red,Blue,circle,,,,0.0,0.0,0.0,0.0,0.035,0.0,0.0,0.0,0.0,0.0,99.993,100.0
0.4,1,active,Blue,Red,retreat,,,,0.0,0.0,0.0,0.0,0.011000000000000003,0.0,0.0,0.0,0.0,0.03,99.9978,99.994
1.0,1,active,Red,Blue,advance,,,,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,99.992,100.0
1.0,1,active,Blue,Red,jab,0.0,,,0.0,0.0,0.0,0.0,0.028,0.0,0.0,0.2,0.0,0.0,99.9944,99.96
1.4,1,active,Blue,Red,advance,,,,0.0,0.0,0.0,0.0,0.004,0.0,0.0,0.176,0.0,0.04,99.9992,99.9568
1.9999999999999998,1,active,Red,Blue,jab,0.0,,,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.13999999999999996,0.0,0.004,99.96,99.9712
2.1999999999999997,1,active,Red,Blue,circle,,,,0.0,0.0,0.188,0.0,0.035,0.0,0.0,0.12799999999999995,0.0,0.0,99.9554,99.9744
2.1999999999999997,1,active,Blue,Red,cross,0.0,,,0.0,0.0,0.176,0.0,0.023000000000000003,0.0,0.0,0.4779999999999999,0.0,0.0,99.9602,99.9044
2.6,1,active,Blue,Red,hook,0.0,,,0.0,0.0,0.15199999999999997,0.0,0.0,0.0,0.4,0.4539999999999999,0.0,0.0,99.9696,99.8492
2.6,1,active,Blue,Red,retreat,,,,0.0,0.0,0.15199999999999997,0.0,0.0,0.0,0.4,0.4539999999999999,0.0,0.03,99.9696,99.8432
3.2000000000000006,1,active,Red,Blue,jab,0.0,,,0.0,0.0,0.32799999999999996,0.0,0.0,0.0,0.364,0.41799999999999987,0.0,0.0,99.9344,99.8618
3.600000000000001,1,active,Blue,Red,jab,0.0,,,0.0,0.0,0.2919999999999999,0.0,0.0,0.0,0.33999999999999997,0.5939999999999999,0.0,0.0,99.9416,99.8302
3.600000000000001,1,active,Blue,Red,retreat,,,,0.0,0.0,0.2919999999999999,0.0,0.0,0.0,0.33999999999999997,0.5939999999999999,0.0,0.03,99.9416,99.8242
3.600000000000001,1,active,Blue,Red,circle,,,,0.0,0.0,0.2919999999999999,0.0,0.0,0.0,0.33999999999999997,0.5939999999999999,0.0,0.065,99.9416,99.8172
3.800000000000001,1,active,Red,Blue,circle,,,,0.0,0.0,0.2919999999999999,0.0,0.035,0.0,0.32799999999999996,0.5819999999999999,0.0,0.053000000000000005,99.9346,99.8238
4.200000000000001,1,active,Red,Blue,circle,,,,0.0,0.0,0.2679999999999999,0.0,0.046000000000000006,0.0,0.30399999999999994,0.5579999999999998,0.0,0.02900000000000001,99.9372,99.837
4.200000000000001,1,active,Blue,Red,jab,1.0,head,0.926,1.1117787129435923,0.0,0.2559999999999999,0.0,0.034,0.0,0.30399999999999994,0.7579999999999998,0.0,0.02900000000000001,99.71964425741128,99.797
4.600000000000001,1,active,Blue,Red,cross,0.0,,,1.0877787129435923,0.0,0.23199999999999987,0.0,0.010000000000000002,0.0,0.2799999999999999,1.0839999999999996,0.0,0.005000000000000008,99.73404425741128,99.7402
4.600000000000001,1,active,Blue,Red,advance,,,,1.0877787129435923,0.0,0.23199999999999987,0.0,0.010000000000000002,0.0,0.2799999999999999,1.0839999999999996,0.0,0.04500000000000001,99.73404425741128,99.7322
5.000000000000002,1,active,Blue,Red,advance,,,,1.0637787129435923,0.0,0.20799999999999985,0.0,0.0,0.0,0.2559999999999999,1.0599999999999996,0.0,0.06100000000000001,99.74564425741129,99.7374
5.400000000000002,1,active,Blue,Red,advance,,,,1.0397787129435923,0.0,0.18399999999999983,0.0,0.0,0.0,0.23199999999999987,1.0359999999999996,0.0,0.07700000000000001,99.75524425741128,99.7426
5.600000000000002,1,active,Blue,Red,retreat,,,,1.0277787129435922,0.0,0.17199999999999982,0.0,0.0,0.0,0.21999999999999986,1.0239999999999996,0.0,0.09500000000000001,99.76004425741128,99.7432
5.8000000000000025,1,active,Blue,Red,retreat,,,,1.0157787129435922,0.0,0.1599999999999998,0.0,0.0,0.0,0.20799999999999985,1.0119999999999996,0.0,0.11300000000000002,99.76484425741128,99.7438
6.400000000000003,1,active,Blue,Red,jab,0.0,,,0.9797787129435922,0.0,0.12399999999999979,0.0,0.0,0.0,0.17199999999999982,1.1759999999999995,0.0,0.07700000000000003,99.77924425741128,99.7236
6.600000000000003,1,active,Red,Blue,advance,,,,0.9797787129435922,0.0,0.12399999999999979,0.0,0.04,0.0,0.1599999999999998,1.1639999999999995,0.0,0.06500000000000003,99.77124425741128,99.7302
7.600000000000004,1,active,Red,Blue,circle,,,,0.9197787129435921,0.0,0.06399999999999981,0.0,0.035,0.0,0.0999999999999998,1.1039999999999994,0.0,0.005000000000000036,99.79624425741129,99.7632
7.600000000000004,1,active,Blue,Red,advance,,,,0.9077787129435921,0.0,0.05199999999999981,0.0,0.023000000000000003,0.0,0.0999999999999998,1.1039999999999994,0.0,0.04500000000000004,99.80344425741129,99.7552
7.800000000000004,1,active,Blue,Red,jab,0.0,,,0.8957787129435921,0.0,0.039999999999999813,0.0,0.011000000000000003,0.0,0.0879999999999998,1.2919999999999994,0.0,0.03300000000000004,99.81064425741128,99.7218
8.8,1,active,Red,Blue,jab,0.0,,,0.8477787129435921,0.0,0.2,0.0,0.0,0.0,0.027999999999999813,1.2319999999999993,0.0,0.0,99.79044425741128,99.7494
9.0,1,active,Red,Blue,advance,,,,0.8357787129435921,0.0,0.188,0.0,0.04,0.0,0.015999999999999813,1.2199999999999993,0.0,0.0,99.78724425741129,99.7536
9.399999999999999,1,active,Blue,Red,circle,,,,0.799778712943592,0.0,0.15199999999999997,0.0,0.004,0.0,0.0,1.1959999999999993,0.0,0.035,99.80884425741128,99.7538
9.799999999999997,1,active,Blue,Red,advance,,,,0.775778712943592,0.0,0.12799999999999995,0.0,0.0,0.0,0.0,1.1719999999999993,0.0,0.051000000000000004,99.81924425741128,99.7554
10.199999999999996,1,active,Red,Blue,advance,,,,0.763778712943592,0.0,0.11599999999999995,0.0,0.04,0.0,0.0,1.1479999999999992,0.0,0.027000000000000007,99.81604425741128,99.765
10.199999999999996,1,active,Red,Blue,clinch,,,,0.763778712943592,0.0,0.11599999999999995,0.25,0.04,0.0,0.0,1.1479999999999992,0.0,0.027000000000000007,99.75354425741128,99.765
10.399999999999995,1,active,Blue,Red,hook,1.0,legs,0.314,0.739778712943592,0.0,0.09199999999999996,0.22599999999999998,0.1729858622039367,0.0,0.4,1.1359999999999992,0.0,0.015000000000000006,99.7425470849705,99.7098
10.599999999999994,1,active,Blue,Red,jab,0.0,,,0.727778712943592,0.0,0.07999999999999996,0.21399999999999997,0.16098586220393668,0.0,0.388,1.3239999999999992,0.0,0.003000000000000006,99.7527470849705,99.6764
10.799999999999994,1,active,Blue,Red,retreat,,,,0.715778712943592,0.0,0.06799999999999996,0.20199999999999996,0.14898586220393667,0.0,0.376,1.3119999999999992,0.0,0.03,99.76294708497049,99.6752
10.999999999999993,1,active,Red,Blue,cross,1.0,torso,0.647,0.715778712943592,0.0,0.4179999999999999,0.20199999999999996,0.14898586220393667,0.0,0.364,1.2999999999999992,0.5822373609279156,0.018,99.6929470849705,99.53624065976803
10.999999999999993,1,active,Blue,Red,retreat,,,,0.703778712943592,0.0,0.4059999999999999,0.18999999999999995,0.13698586220393666,0.0,0.364,1.2999999999999992,0.5822373609279156,0.048,99.7031470849705,99.53024065976803
11.199999999999992,1,active,Red,Blue,jab,0.0,,,0.703778712943592,0.0,0.6059999999999999,0.18999999999999995,0.13698586220393666,0.0,0.352,1.2879999999999991,0.5702373609279155,0.036000000000000004,99.66314708497049,99.53984065976802
11.99999999999999,1,active,Blue,Red,jab,1.0,head,0.651,1.4244400347526847,0.0,0.5459999999999998,0.1299999999999999,0.07698586220393668,0.0,0.30399999999999994,1.439999999999999,0.5222373609279155,0.0,99.55801482060868,99.53584065976803
12.399999999999988,1,active,Blue,Red,retreat,,,,1.4004400347526846,0.0,0.5219999999999998,0.1059999999999999,0.05298586220393668,0.0,0.2799999999999999,1.415999999999999,0.4982373609279155,0.03,99.57841482060867,99.54424065976802
